./main.o data_image.txt query_image.txt 10 0.5 1
Pre processing Time: 129 ms
a: 408 , b: 32 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574592 b1:-102400 b2:1091574591 theta: 263887.999994
a: 408 , b: 33 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574596 b1:-102400 b2:1091574595 theta: 263888.999994
a: 408 , b: 34 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574600 b1:-102400 b2:1091574599 theta: 263889.999994
a: 408 , b: 35 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574604 b1:-102400 b2:1091574603 theta: 263890.999994
a: 408 , b: 36 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574608 b1:-102400 b2:1091574607 theta: 263891.999994
a: 408 , b: 37 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574612 b1:-102400 b2:1091574611 theta: 263892.999994
a: 408 , b: 38 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574616 b1:-102400 b2:1091574615 theta: 263893.999994
a: 408 , b: 39 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574620 b1:-102400 b2:1091574619 theta: 263894.999994
a: 408 , b: 40 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574624 b1:-102400 b2:1091574623 theta: 263895.999994
a: 408 , b: 41 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574628 b1:-102400 b2:1091574627 theta: 263896.999994
a: 408 , b: 42 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574632 b1:-102400 b2:1091574631 theta: 263897.999994
a: 408 , b: 43 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574636 b1:-102400 b2:1091574635 theta: 263898.999994
